source,target,distance,wdistance,color,type
22,1,0,17,LB,undirected
22,8,0,19,LB,undirected
22,23,1,19,P,undirected
22,24,0,28,P,undirected
22,4,0,23,P,undirected
22,9,1,17,G,undirected
22,11,0,20,LB,undirected
22,26,0,16,R,undirected
22,18,0,17,LB,undirected
22,29,0,20,LB,undirected
22,43,0,19,LB,undirected
22,35,0,16,LB,undirected
22,45,0,15,R,undirected
22,27,0,19,LB,undirected
22,27,0,19,R,undirected
24,25,0,18,PU,undirected
24,14,0,28,PU,undirected
24,1,0,17,G,undirected
24,5,0,10,PU,undirected
24,7,0,14,G,undirected
24,11,0,15,G,undirected
24,44,0,18,G,undirected
24,41,0,13,PU,undirected
26,25,0,16,P,undirected
26,45,0,16,P,undirected
26,45,0,14,LB,undirected
45,41,0,18,P,undirected
27,29,0,20,LB,undirected
27,28,0,15,P,undirected
27,22,1,14,P,undirected
30,42,0,18,LB,undirected
30,44,1,18,P,undirected
39,40,1,15,P,undirected
34,36,0,14,P,undirected
34,37,0,25,P,undirected
34,39,0,21,P,undirected
34,35,0,16,LB,undirected
18,40,0,22,G,undirected
17,16,0,17,P,undirected
17,43,0,21,LB,undirected
10,11,0,17,P,undirected
10,15,0,21,P,undirected
10,19,0,19,P,undirected
10,14,0,20,P,undirected
10,13,0,30,P,undirected
10,12,0,27,P,undirected
21,7,1,10,P,undirected
3,9,0,13,P,undirected
2,8,1,11,P,undirected
0,5,0,13,P,undirected
0,8,1,14,LB,undirected
0,6,0,17,P,undirected
0,4,0,13,P,undirected
25,41,0,18,BN,undirected
41,16,1,16,PU,undirected
44,32,0,16,PU,undirected
32,31,0,14,PU,undirected
31,42,0,13,PU,undirected
37,16,0,24,PU,undirected
42,40,0,18,PU,undirected
38,20,0,14,BN,undirected
38,36,0,16,PU,undirected
36,12,1,13,G,undirected
43,16,0,18,LB,undirected
16,26,0,20,P,undirected
16,19,0,22,PU,undirected
20,7,0,18,PU,undirected
19,12,0,18,PU,undirected
19,14,1,22,PU,undirected
19,15,0,20,PU,undirected
19,13,0,18,G,undirected
19,11,0,16,G,undirected
6,5,0,25,PU,undirected
6,7,0,20,BN,undirected
7,5,1,18,BN,undirected
7,38,1,22,BN,undirected
5,8,0,19,PU,undirected
4,14,1,17,PU,undirected
4,19,0,16,PU,undirected
9,24,0,14,G,undirected
11,15,0,17,PU,undirected
11,12,0,11,PU,undirected
13,12,1,18,PU,undirected
13,14,1,16,PU,undirected
13,23,0,16,P,undirected
14,15,0,14,PU,undirected
22,34,1,18,R,undirected
33,31,0,19,P,undirected
33,32,0,18,P,undirected
33,44,0,20,P,undirected
46,33,0,21,LB,undirected
46,47,0,17,BN,undirected
47,48,0,18,P,undirected
47,42,0,20,BN,undirected
47,37,0,21,BN,undirected
47,16,0,25,BN,undirected
49,22,0,10,LB,undirected
