index,name,gender,binaryAttribute,degree
0,Sardar Patel University,india,0,4
1,LA Cooperative league,us,0,2
2,School of Living,us,0,1
3,Oriole Press,us,0,4
4,R. K. Amin,india,1,5
5,Bhaikaka Patel,india,1,4
6,H. M. Patel,india,1,6
7,K. M. Munshi,india,1,4
8,Ralph Borsodi,us,1,3
9,Joseph Ishill,us,1,3
10,Mont Pelerin Society,europe,0,6
11,Friedrich Hayek,us,1,6
12,Wilhelm Ropke,europe,1,5
13,Henry Hazlitt,us,1,5
14,Milton Friedman,us,1,6
15,Peter Bauer,europe,1,7
16,Philip Spratt,india,1,7
17,MysIndia,india,0,2
18,Foundation for Economic Education,us,0,2
19,B.R. Shenoy,india,1,8
20,K. Santhanam,india,1,2
21,Bharatiya Vidya Bhavan,india,0,1
22,LSI and journals,india,0,16
23,M. A. Sreenivasan,india,1,2
24,R. B. Lotvala,india,1,10
25,S. Ramanathan,india,1,3
26,Indian Rationalist Association,india,0,5
27,Society for the Defence of Freedom,india,0,5
28,Sitaram Goel,india,1,1
29,S. S. Bankeshwar,india,1,2
30,Indian Congress for Cultural Freedom,india,0,2
31,A. D. Shroff,india,1,3
32,M. R. Pai,india,1,3
33,Forum of Free Enterprise,india,0,4
34,Swarajya,india,0,5
35,A. Ranganathan,india,1,2
36,T. Sadasivam,india,1,3
37,Khasa Subba Rao,india,1,3
38,C. Rajagopalachari,india,1,3
39,Thought Magazine,india,0,2
40,"Satchidanada Vatsayayan aka ""Agyeya""",india,1,5
41,M. N. Roy,india,1,4
42,M. R. Masani,india,1,4
43,M. A. Venkata Rao,india,1,3
44,M. A. Master,india,1,4
45,Radical Humanists,india,0,4
46,M. Ruthnaswamy,india,1,2
47,N.G. Ranga,india,1,5
48,All India Agriculturists' Federation,india,0,1
49,FilmIndia,india,0,2
